date,ccf
2023-06-15,0.0
2023-06-16,14.8731
2023-06-17,14.8731
2023-06-18,14.8731
2023-06-19,14.8731
2023-06-20,14.8731
2023-06-21,14.8731
2023-06-22,14.8731
2023-06-23,5.9524
2023-06-24,5.9524
2023-06-25,5.9524
2023-06-26,5.9524
2023-06-27,5.9524
2023-06-28,5.9524
2023-06-29,5.9524
2023-06-30,7.64
2023-07-01,7.64
2023-07-02,7.64
2023-07-03,7.64
2023-07-04,7.64
2023-07-05,7.64
2023-07-06,8.2114
2023-07-07,8.7114
2023-07-08,8.7114
2023-07-09,8.7114
2023-07-10,8.7114
2023-07-11,8.7114
2023-07-12,8.7114
2023-07-13,8.5714
2023-07-14,8.8571
2023-07-15,8.8571
2023-07-16,8.8571
2023-07-17,8.8571
2023-07-18,8.8571
2023-07-19,8.8571
2023-07-20,8.5714
2023-07-21,11.0914
2023-07-22,11.0914
2023-07-23,11.0914
2023-07-24,11.0914
2023-07-25,11.0914
2023-07-26,11.0914
2023-07-27,10.1994
2023-07-28,10.9137
2023-07-29,10.9137
2023-07-30,10.9137
2023-07-31,10.9137
2023-08-01,10.9137
2023-08-02,10.9137
2023-08-03,11.0257
2023-08-04,11.3103
2023-08-05,11.3103
2023-08-06,11.3103
2023-08-07,11.3103
2023-08-08,11.3103
2023-08-09,11.3103
2023-08-10,10.0614
2023-08-11,10.0614
2023-08-12,10.0614
2023-08-13,10.0614
2023-08-14,10.0614
2023-08-15,10.0614
2023-08-16,10.0614
2023-08-17,10.0614
2023-08-18,10.0036
2023-08-19,10.0036
2023-08-20,10.0036
2023-08-21,10.0036
2023-08-22,10.0036
2023-08-23,10.0036
2023-08-24,8.0108
2023-08-25,7.7667
2023-08-26,7.7667
2023-08-27,7.7667
2023-08-28,7.7667
2023-08-29,7.7667
2023-08-30,7.7667
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,3.0853
2024-05-28,3.0853
2024-05-29,3.0853
2024-05-30,3.0853
2024-05-31,3.0853
2024-06-01,3.0853
2024-06-02,3.0853
2024-06-03,2.17
2024-06-04,6.2056
2024-06-05,6.2056
2024-06-06,6.2056
2024-06-07,6.2056
2024-06-08,8.2343
2024-06-09,8.5271
2024-06-10,8.5271
2024-06-11,8.5271
2024-06-12,8.5271
2024-06-13,8.5271
2024-06-14,8.5271
2024-06-15,7.4417
